Run	Fitness	Solution
1	7.6227868218451214e+00	[0.10332055291110454,-2.0400204690549866,-1.0181652508468435]
1	6.1886223088540042e+00	[0.10676750643692046,-1.1052138209215547,0.0589677245211675]
1	6.1886223088540042e+00	[0.10676750643692046,-1.1052138209215547,0.0589677245211675]
1	6.1886223088540042e+00	[0.10676750643692046,-1.1052138209215547,0.0589677245211675]
1	6.1886223088540042e+00	[0.10676750643692046,-1.1052138209215547,0.0589677245211675]
1	6.1886223088540042e+00	[0.10676750643692046,-1.1052138209215547,0.0589677245211675]
1	4.4687906588284889e+00	[-1.10167039053386,-0.9845797005314173,-0.036756382943421165]
1	4.4687906588284889e+00	[-1.10167039053386,-0.9845797005314173,-0.036756382943421165]
1	4.4687906588284889e+00	[-1.10167039053386,-0.9845797005314173,-0.036756382943421165]
1	4.4687906588284889e+00	[-1.10167039053386,-0.9845797005314173,-0.036756382943421165]
1	4.4687906588284889e+00	[-1.10167039053386,-0.9845797005314173,-0.036756382943421165]
1	4.4687906588284889e+00	[-1.10167039053386,-0.9845797005314173,-0.036756382943421165]
1	4.4687906588284889e+00	[-1.10167039053386,-0.9845797005314173,-0.036756382943421165]
1	4.4687906588284889e+00	[-1.10167039053386,-0.9845797005314173,-0.036756382943421165]
1	4.4687906588284889e+00	[-1.10167039053386,-0.9845797005314173,-0.036756382943421165]
1	4.4687906588284889e+00	[-1.10167039053386,-0.9845797005314173,-0.036756382943421165]
1	3.1983038850100982e+00	[0.9556415251445656,0.012351289303765028,-0.09862032936697263]
1	3.1983038850100982e+00	[0.9556415251445656,0.012351289303765028,-0.09862032936697263]
1	3.1983038850100982e+00	[0.9556415251445656,0.012351289303765028,-0.09862032936697263]
1	3.1983038850100982e+00	[0.9556415251445656,0.012351289303765028,-0.09862032936697263]
1	3.1983038850100982e+00	[0.9556415251445656,0.012351289303765028,-0.09862032936697263]
1	3.1983038850100982e+00	[0.9556415251445656,0.012351289303765028,-0.09862032936697263]
1	3.1983038850100982e+00	[0.9556415251445656,0.012351289303765028,-0.09862032936697263]
1	1.4453459109770037e+00	[0.026541098016039433,-0.9817519454262646,-0.03741258285197824]
1	1.4453459109770037e+00	[0.026541098016039433,-0.9817519454262646,-0.03741258285197824]
1	1.4453459109770037e+00	[0.026541098016039433,-0.9817519454262646,-0.03741258285197824]
1	1.4453459109770037e+00	[0.026541098016039433,-0.9817519454262646,-0.03741258285197824]
1	1.4453459109770037e+00	[0.026541098016039433,-0.9817519454262646,-0.03741258285197824]
1	1.4453459109770037e+00	[0.026541098016039433,-0.9817519454262646,-0.03741258285197824]
1	1.4453459109770037e+00	[0.026541098016039433,-0.9817519454262646,-0.03741258285197824]
1	1.4453459109770037e+00	[0.026541098016039433,-0.9817519454262646,-0.03741258285197824]
1	1.4453459109770037e+00	[0.026541098016039433,-0.9817519454262646,-0.03741258285197824]
1	1.4453459109770037e+00	[0.026541098016039433,-0.9817519454262646,-0.03741258285197824]
